8,11,17,25,6,23,27,16,14,2,5,4,13,7,18
1,3,9,10,12,15,19,20,21,22,24,26,28,29,30
6,21,17,5,25,24,4,20,11,12,29,27,14,26,7
1,2,3,8,9,10,13,15,16,18,19,22,23,28,30
6,24,11,9,16,26,3,7,13,14,28,10,19,18,21
1,2,4,5,8,12,15,17,20,22,23,25,27,29,30
18,1,9,8,22,7,30,21,23,2,16,6,26,17,25
3,4,5,10,11,12,13,14,15,19,20,24,27,28,29
7,20,26,8,3,18,13,19,22,28,6,10,29,23,5
1,2,4,9,11,12,14,15,16,17,21,24,25,27,30
19,28,8,11,21,25,23,18,12,2,13,24,26,6,20
1,3,4,5,7,9,10,14,15,16,17,22,27,29,30
30,12,4,2,7,20,9,23,28,10,22,5,14,27,8
1,3,6,11,13,15,16,17,18,19,21,24,25,26,29
14,7,23,18,9,27,29,22,17,30,10,2,8,20,3
1,4,5,6,11,12,13,15,16,19,21,24,25,26,28
7,1,6,28,12,4,10,9,15,21,3,29,16,27,8
2,5,11,13,14,17,18,19,20,22,23,24,25,26,30
16,9,12,19,3,6,7,24,14,10,22,11,26,27,25
1,2,4,5,8,13,15,17,18,20,21,23,28,29,30
9,1,15,29,2,24,3,7,20,25,4,30,17,28,12
5,6,8,10,11,13,14,16,18,19,21,22,23,26,27
3,24,27,8,5,1,26,15,25,22,28,16,7,18,29
2,4,6,9,10,11,12,13,14,17,19,20,21,23,30
22,8,11,3,26,1,14,18,20,25,24,17,19,10,23
2,4,5,6,7,9,12,13,15,16,21,27,28,29,30
8,19,27,15,26,13,23,10,11,9,18,4,21,28,14
1,2,3,5,6,7,12,16,17,20,22,24,25,29,30
19,6,28,18,10,25,20,29,16,27,3,13,26,30,14
1,2,4,5,7,8,9,11,12,15,17,21,22,23,24
21,8,13,7,23,29,2,20,26,3,27,12,30,19,9
1,4,5,6,10,11,14,15,16,17,18,22,24,25,28
5,29,14,21,11,28,30,24,18,23,9,1,16,15,22
2,3,4,6,7,8,10,12,13,17,19,20,25,26,27
25,21,28,3,2,15,10,12,9,5,13,30,26,6,16
1,4,7,8,11,14,17,18,19,20,22,23,24,27,29
4,15,19,2,10,6,8,14,28,16,9,20,29,21,30
1,3,5,7,11,12,13,17,18,22,23,24,25,26,27
27,23,8,15,26,25,3,2,28,22,30,20,1,13,4
5,6,7,9,10,11,12,14,16,17,18,19,21,24,29
24,8,20,5,25,23,3,4,22,18,14,21,2,11,30
1,6,7,9,10,12,13,15,16,17,19,26,27,28,29
10,14,28,15,22,19,27,18,30,8,20,12,9,24,7
1,2,3,4,5,6,11,13,16,17,21,23,25,26,29
18,7,10,20,22,11,24,23,19,21,30,14,8,6,26
1,2,3,4,5,9,12,13,15,16,17,25,27,28,29
9,7,20,15,18,24,29,26,23,6,13,8,28,12,21
1,2,3,4,5,10,11,14,16,17,19,22,25,27,30
13,21,5,25,4,27,16,8,2,6,7,20,18,11,12
1,3,9,10,14,15,17,19,22,23,24,26,28,29,30
1,9,25,22,29,12,20,17,8,15,28,5,10,30,14
2,3,4,6,7,11,13,16,18,19,21,23,24,26,27
30,3,25,9,6,11,2,1,4,5,13,17,10,20,15
7,8,12,14,16,18,19,21,22,23,24,26,27,28,29
1,3,14,24,29,19,30,20,13,23,15,22,12,28,9
2,4,5,6,7,8,10,11,16,17,18,21,25,26,27
3,7,30,9,16,28,20,24,25,5,23,8,6,11,22
1,2,4,10,12,13,14,15,17,18,19,21,26,27,29
3,15,11,12,8,4,22,6,24,30,2,26,10,29,25
1,5,7,9,13,14,16,17,18,19,20,21,23,27,28
16,28,12,29,25,27,20,4,21,6,7,30,26,1,14
2,3,5,8,9,10,11,13,15,17,18,19,22,23,24
16,18,23,20,4,24,19,27,15,9,14,7,12,28,5
1,2,3,6,8,10,11,13,17,21,22,25,26,29,30
14,12,30,25,22,13,11,8,1,3,28,5,19,6,27
2,4,7,9,10,15,16,17,18,20,21,23,24,26,29
14,29,25,7,6,22,27,17,9,13,24,28,30,1,4
2,3,5,8,10,11,12,15,16,18,19,20,21,23,26
26,1,16,30,13,3,12,14,22,21,7,11,24,6,5
2,4,8,9,10,15,17,18,19,20,23,25,27,28,29
19,20,23,8,29,1,28,11,2,27,6,12,10,25,22
3,4,5,7,9,13,14,15,16,17,18,21,24,26,30
17,3,19,14,28,21,10,9,5,4,8,27,20,1,15
2,6,7,11,12,13,16,18,22,23,24,25,26,29,30
12,1,5,11,20,19,13,27,2,25,22,10,30,7,9
3,4,6,8,14,15,16,17,18,21,23,24,26,28,29
13,6,4,3,9,20,7,11,15,26,14,5,27,29,19
1,2,8,10,12,16,17,18,21,22,23,24,25,28,30
21,26,20,4,6,12,5,14,9,3,2,23,28,27,16
1,7,8,10,11,13,15,17,18,19,22,24,25,29,30
7,29,17,4,22,25,26,13,18,15,14,20,19,5,1
2,3,6,8,9,10,11,12,16,21,23,24,27,28,30
28,30,9,23,17,13,18,4,15,22,10,14,26,5,8
1,2,3,6,7,11,12,16,19,20,21,24,25,27,29
15,27,2,20,9,14,17,12,5,19,8,4,23,22,29
1,3,6,7,10,11,13,16,18,21,24,25,26,28,30
23,9,15,16,1,4,11,2,3,10,30,26,28,22,7
5,6,8,12,13,14,17,18,19,20,21,24,25,27,29
20,10,7,11,29,8,6,13,5,1,25,17,24,30,28
2,3,4,9,12,14,15,16,18,19,21,22,23,26,27
6,8,17,10,7,28,22,14,20,24,30,2,12,19,13
1,3,4,5,9,11,15,16,18,21,23,25,26,27,29
30,11,22,23,15,18,10,29,12,20,3,14,21,27,9
1,2,4,5,6,7,8,13,16,17,19,24,25,26,28
18,1,29,11,7,3,24,28,30,10,14,26,17,9,21
2,4,5,6,8,12,13,15,16,19,20,22,23,25,27
11,15,8,17,2,28,7,3,12,18,6,9,23,22,16
1,4,5,10,13,14,19,20,21,24,25,26,27,29,30
22,13,6,21,14,2,17,15,1,3,8,28,12,25,5
4,7,9,10,11,16,18,19,20,23,24,26,27,29,30
