5,6,9,12,3,10,11,15
1,2,4,7,8,13,14,16
3,11,9,16,12,15,2,8
1,4,5,6,7,10,13,14
3,13,6,5,8,7,2,16
1,4,9,10,11,12,14,15
10,1,5,4,16,3,8,9
2,6,7,11,12,13,14,15
4,11,13,16,2,8,6,15
1,3,5,7,9,10,12,14
10,15,4,5,16,11,12,7
1,2,3,6,8,9,13,14
16,6,2,1,3,9,4,11
5,7,8,10,12,13,14,15
8,4,12,9,15,16,3,13
1,2,5,6,7,10,11,14
4,1,3,14,6,2,16,10
5,7,8,9,11,12,13,15
9,5,6,10,2,3,11,13
1,4,7,8,12,14,15,16
5,1,8,15,13,11,12,3
2,4,6,7,9,10,14,16
2,13,14,4,3,1,16,6
5,7,8,9,10,11,12,15
12,4,6,2,16,1,14,7
3,5,8,9,10,11,13,15
5,10,14,8,12,6,15,4
1,2,3,7,9,11,13,16
10,3,14,9,5,11,13,15
1,2,4,6,7,8,12,16
11,4,7,3,16,15,1,8
2,5,6,9,10,12,13,14
3,15,7,11,5,6,16,2
1,4,8,9,10,12,13,14
14,11,16,2,1,7,4,5
3,6,8,9,10,12,13,15
2,8,10,1,5,3,11,6
4,7,9,12,13,14,15,16
15,12,4,7,16,11,1,10
2,3,5,6,8,9,13,14
13,4,10,3,12,11,2,14
1,5,6,7,8,9,15,16
5,8,14,7,11,15,13,10
1,2,3,4,6,9,12,16
10,4,5,16,13,14,12,9
1,2,3,6,7,8,11,15
5,4,10,7,8,11,3,13
1,2,6,9,12,14,15,16
7,11,3,12,2,15,16,4
1,5,6,8,9,10,13,14
1,5,13,11,4,6,8,7
2,3,9,10,12,14,15,16
16,2,13,5,3,14,1,10
4,6,7,8,9,11,12,15
1,2,7,12,15,9,16,8
3,4,5,6,10,11,13,14
2,4,16,5,8,14,9,12
1,3,6,7,10,11,13,15
2,8,6,14,4,16,9,3
1,5,7,10,11,12,13,15
9,15,6,14,12,5,16,2
1,3,4,7,8,10,11,13
9,16,12,10,2,11,8,13
1,3,4,5,6,7,14,15
8,6,7,12,11,15,5,4
1,2,3,9,10,13,14,16
8,15,13,4,3,10,12,7
1,2,5,6,9,11,14,16
14,1,8,13,6,2,5,12
3,4,7,9,10,11,15,16
10,11,12,4,16,1,14,13
2,3,5,6,7,8,9,15
9,2,10,7,16,14,4,11
1,3,5,6,8,12,13,15
7,1,3,5,10,9,6,4
2,8,11,12,13,14,15,16
7,4,2,14,5,9,3,12
1,6,8,10,11,13,15,16
11,14,10,2,3,6,12,16
1,4,5,7,8,9,13,15
4,15,9,2,11,12,10,5
1,3,6,7,8,13,14,16
15,16,5,11,8,6,12,2
1,3,4,7,9,10,13,14
8,14,1,10,4,6,7,5
2,3,9,11,12,13,15,16
12,5,8,14,1,2,15,16
3,4,6,7,9,10,11,13
11,5,4,15,13,14,3,12
1,2,6,7,8,9,10,16
3,4,9,5,16,8,14,6
1,2,7,10,11,12,13,15
16,6,11,14,7,8,4,5
1,2,3,9,10,12,13,15
10,1,15,5,3,2,16,14
4,6,7,8,9,11,12,13
6,8,4,15,1,14,3,12
2,5,7,9,10,11,13,16
12,7,3,10,15,1,16,6
2,4,5,8,9,11,13,14
