11,15,22,34,8,32,33,38,21,2,7,6,20,40,35,13,18,23,9,17
1,3,4,5,10,12,14,16,19,24,25,26,27,28,29,30,31,36,37,39
8,28,22,7,34,36,5,39,15,18,17,37,38,35,11,33,24,6,10,2
1,3,4,9,12,13,14,16,19,20,21,23,25,26,27,29,30,31,32,40
7,32,15,13,22,36,5,10,19,20,16,38,29,30,23,21,3,17,31,6
1,2,4,8,9,11,12,14,18,24,25,26,27,28,33,34,35,37,39,40
24,1,12,11,30,10,25,36,31,3,23,9,32,26,37,38,40,14,22,16
2,4,5,6,7,8,13,15,17,18,19,20,21,27,28,29,33,34,35,39
9,27,35,11,4,25,18,39,31,36,40,15,30,16,7,6,10,21,13,34
1,2,3,5,8,12,14,17,19,20,22,23,24,26,28,29,32,33,37,38
25,37,11,15,30,35,33,26,17,2,20,27,3,8,21,7,13,16,4,39
1,5,6,9,10,12,14,18,19,22,23,24,28,29,31,32,34,36,38,40
40,16,5,3,9,28,12,33,6,15,32,7,22,37,34,27,14,1,35,29
2,4,8,10,11,13,17,18,19,20,21,23,24,25,26,30,31,36,38,39
19,9,31,25,12,26,10,38,37,20,14,3,13,15,4,24,1,7,23,11
2,5,6,8,16,17,18,21,22,27,28,29,30,32,33,34,35,36,39,40
9,1,8,38,16,5,14,13,22,31,4,39,25,40,33,26,10,23,37,11
2,3,6,7,12,15,17,18,19,20,21,24,27,28,29,30,32,34,35,36
21,12,17,26,4,8,10,9,20,14,32,38,36,29,34,11,2,7,33,18
1,3,5,6,13,15,16,19,22,23,24,25,27,28,30,31,35,37,39,40
12,1,20,39,3,34,36,10,29,4,6,13,26,23,38,15,40,8,31,11
2,5,7,9,14,16,17,18,19,21,22,24,25,27,28,30,32,33,35,37
3,32,36,10,7,2,38,22,1,39,12,24,11,28,34,27,25,13,15,40
4,5,6,8,9,14,16,17,18,19,20,21,23,26,29,30,31,33,35,37
29,10,15,4,35,1,20,26,28,2,34,33,25,16,27,39,9,14,30,38
3,5,6,7,8,11,12,13,17,18,19,21,22,23,24,31,32,36,37,40
11,25,37,21,36,18,32,15,16,12,27,5,14,23,30,19,9,34,39,13
1,2,3,4,6,7,8,10,17,20,22,24,26,28,29,31,33,35,38,40
25,8,37,40,14,35,28,9,22,26,4,19,15,20,23,32,11,31,30,17
1,2,3,5,6,7,10,12,13,16,18,21,24,27,29,33,34,36,38,39
28,10,18,9,32,11,3,40,33,5,39,38,31,29,14,7,21,16,23,2
1,4,6,8,12,13,15,17,19,20,22,24,25,26,27,30,34,35,36,37
7,38,18,29,15,19,8,40,25,33,14,1,24,23,32,28,36,31,26,12
2,3,4,5,6,9,10,11,13,16,17,20,21,22,27,30,34,35,37,39
33,28,37,3,2,21,14,17,12,7,20,22,38,9,26,39,13,1,35,36
4,5,6,8,10,11,15,16,18,19,23,24,25,27,29,30,31,32,34,40
5,19,25,3,14,8,10,39,27,23,13,36,31,38,6,28,34,29,24,18
1,2,4,7,9,11,12,15,16,17,20,21,22,26,30,32,33,35,37,40
36,30,11,20,35,40,4,3,38,12,22,39,1,21,6,31,8,33,7,18
2,5,9,10,13,14,15,16,17,19,23,24,25,26,27,28,29,32,34,37
32,10,27,7,35,33,4,6,40,38,21,28,2,17,5,1,13,37,11,14
3,8,9,12,15,16,18,19,20,22,23,24,25,26,29,30,31,34,36,39
13,19,38,20,31,26,21,25,14,12,30,18,32,24,36,3,11,5,28,8
1,2,4,6,7,9,10,15,16,17,22,23,27,29,33,34,35,37,39,40
24,9,13,27,30,15,33,34,37,31,26,21,11,39,22,4,38,14,29,23
1,2,3,5,6,7,8,10,12,16,17,18,19,20,25,28,32,35,36,40
12,9,27,20,24,33,10,26,35,8,19,11,30,28,39,23,5,2,40,3
1,4,6,7,13,14,15,16,17,18,21,22,25,29,31,32,34,36,37,38
17,28,6,34,5,35,22,12,3,9,10,11,27,16,19,4,13,40,29,39
1,2,7,8,14,15,18,20,21,23,24,25,26,30,31,32,33,36,37,38
1,12,34,30,39,17,28,25,11,21,35,7,16,40,22,8,36,10,15,38
2,3,4,5,6,9,13,14,18,19,20,23,24,26,27,29,31,32,33,37
39,4,34,13,9,15,3,1,5,6,19,25,35,20,23,27,24,38,14,33
2,7,8,10,11,12,16,17,18,21,22,26,28,29,30,31,32,36,37,40
2,4,19,33,39,27,40,29,38,30,22,20,18,23,14,9,10,16,31,24
1,3,5,6,7,8,11,12,13,15,17,21,25,26,28,32,34,35,36,37
4,10,40,13,22,38,29,34,35,8,30,12,9,18,5,21,16,28,20,31
1,2,3,6,7,11,14,15,17,19,23,24,25,26,27,32,33,36,37,39
4,20,14,16,11,6,31,8,34,5,2,12,37,24,35,27,7,39,38,10
1,3,9,13,15,17,18,19,21,22,23,25,26,28,29,30,32,33,36,40
21,38,17,16,35,37,29,6,30,8,10,25,19,1,22,3,34,11,33,24
2,4,5,7,9,12,13,14,15,18,20,23,26,27,28,31,32,36,39,40
21,24,31,27,6,34,26,29,22,13,20,10,18,40,7,19,30,33,14,39
1,2,3,4,5,8,9,11,12,15,16,17,23,25,28,32,35,36,37,38
18,16,19,34,31,38,15,12,1,4,21,8,7,10,30,22,35,9,3,24
2,5,6,11,13,14,17,20,23,25,26,27,28,29,32,33,36,37,39,40
18,39,34,9,37,30,10,24,13,40,38,32,21,2,6,28,25,1,11,22
3,4,5,7,8,12,14,15,16,17,19,20,23,26,27,29,31,33,35,36
35,1,22,36,18,4,17,20,32,31,11,16,19,10,8,34,38,28,15,27
2,3,5,6,7,9,12,13,14,21,23,24,25,26,29,30,33,37,39,40
25,27,31,10,28,1,33,15,3,12,9,18,34,2,39,11,14,32,38,4
5,6,7,8,13,16,17,19,20,21,22,23,24,26,29,30,35,36,37,40
22,4,25,19,26,30,14,12,7,5,33,40,35,1,24,21,20,39,13,18
2,3,6,8,9,10,11,15,16,17,23,27,28,29,31,32,34,36,37,38
16,1,6,14,28,27,18,15,2,35,3,33,19,11,37,8,20,32,25,17
4,5,7,9,10,12,13,21,22,23,24,26,29,30,31,34,36,38,39,40
18,9,5,3,13,28,10,16,22,36,20,8,38,34,7,25,30,14,19,6
1,2,4,11,12,15,17,21,23,24,26,27,29,31,32,33,35,37,39,40
28,35,27,5,8,17,7,20,12,37,3,21,30,34,25,33,10,23,40,13
1,2,4,6,9,11,14,15,16,18,19,22,24,26,29,31,32,36,38,39
9,38,22,6,31,34,36,18,27,21,35,39,30,8,2,20,28,3,29,23
1,4,5,7,10,11,12,13,14,15,16,17,19,24,25,26,32,33,37,40
37,40,11,31,24,19,26,5,22,32,14,21,27,7,13,36,25,3,38,12
1,2,4,6,8,9,10,15,16,17,18,20,23,28,29,30,33,34,35,39
20,36,3,27,12,40,24,17,6,28,39,5,19,8,13,33,32,29,1,38
