9,12,18,27,6,25,29,17,16,2,5,4,14,8,20,32
1,3,7,10,11,13,15,19,21,22,23,24,26,28,30,31
6,22,18,5,27,26,4,21,12,13,23,32,16,28,8,15
1,2,3,7,9,10,11,14,17,19,20,24,25,29,30,31
6,26,12,10,17,28,4,8,14,15,30,11,21,20,16,23
1,2,3,5,7,9,13,18,19,22,24,25,27,29,31,32
19,1,9,30,23,8,32,28,25,2,17,7,3,26,27,18
4,5,6,10,11,12,13,14,15,16,20,21,22,24,29,31
7,22,28,9,3,19,14,21,23,30,32,11,31,25,5,4
1,2,6,8,10,12,13,15,16,17,18,20,24,26,27,29
20,30,8,12,23,27,25,32,13,2,15,26,28,6,14,5
1,3,4,7,9,10,11,16,17,18,19,21,22,24,29,31
32,13,4,3,7,22,9,25,30,11,24,5,16,2,26,19
1,6,8,10,12,14,15,17,18,20,21,23,27,28,29,31
15,7,24,19,10,20,8,30,29,32,11,2,9,22,3,16
1,4,5,6,12,13,14,17,18,21,23,25,26,27,28,31
8,1,7,30,13,4,11,10,17,23,3,31,18,6,9,20
2,5,12,14,15,16,19,21,22,24,25,26,27,28,29,32
17,10,13,21,3,7,8,27,15,31,24,12,28,29,25,26
1,2,4,5,6,9,11,14,16,18,19,20,22,23,30,32
9,1,16,31,2,26,3,8,22,27,4,10,19,17,14,21
5,6,7,11,12,13,15,18,20,23,24,25,28,29,30,32
3,26,29,8,5,1,28,17,27,24,9,18,30,20,31,19
2,4,6,7,10,11,12,13,14,15,16,21,22,23,25,32
23,8,12,3,27,1,15,20,21,28,26,19,18,11,24,7
2,4,5,6,9,10,13,14,16,17,22,25,29,30,31,32
9,20,29,17,28,14,25,11,12,32,31,4,10,30,16,13
1,2,3,5,6,7,8,15,18,19,21,22,23,24,26,27
20,7,29,19,11,27,22,31,17,32,3,14,28,21,16,15
1,2,4,5,6,8,9,10,12,13,18,23,24,25,26,30
22,8,14,7,25,9,2,21,28,4,31,13,23,24,10,5
1,3,6,11,12,15,16,17,18,19,20,26,27,29,30,32
5,31,15,23,12,30,6,32,19,25,10,1,17,16,18,20
2,3,4,7,8,9,11,13,14,21,22,24,26,27,28,29
27,23,29,3,2,16,11,13,9,6,15,32,28,31,18,30
1,4,5,7,8,10,12,14,17,19,20,21,22,24,25,26
4,16,20,2,11,7,8,15,21,17,9,10,31,18,5,30
1,3,6,12,13,14,19,22,23,24,25,26,27,28,29,32
29,24,9,16,27,28,3,2,8,30,32,22,1,15,4,31
5,6,7,10,11,12,13,14,17,18,19,20,21,23,25,26
26,8,21,6,27,25,3,5,24,20,15,23,2,12,4,1
7,9,10,11,13,14,16,17,18,19,22,28,29,30,31,32
10,15,30,16,24,20,29,19,11,9,22,13,32,17,8,2
1,3,4,5,6,7,12,14,18,21,23,25,26,27,28,31
19,7,10,21,23,12,26,25,29,28,20,15,8,6,16,3
1,2,4,5,9,11,13,14,17,18,22,24,27,30,31,32
10,7,22,16,19,25,8,20,27,6,14,26,30,13,23,29
1,2,3,4,5,9,11,12,15,17,18,21,24,28,31,32
14,22,5,27,4,29,17,9,2,7,8,31,20,12,13,3
1,6,10,11,15,16,18,19,21,23,24,25,26,28,30,32
1,9,27,24,31,13,21,19,28,16,30,5,12,32,15,6
2,3,4,7,8,10,11,14,17,18,20,22,23,25,26,29
32,3,27,10,7,11,2,1,4,5,14,18,30,15,16,22
6,8,9,12,13,17,19,20,21,23,24,25,26,28,29,31
1,3,15,26,31,21,32,22,14,25,16,24,13,23,10,6
2,4,5,7,8,9,11,12,17,18,19,20,27,28,29,30
4,8,32,10,17,3,22,26,27,6,25,9,7,12,30,15
1,2,5,11,13,14,16,18,19,20,21,23,24,28,29,31
4,16,11,13,9,32,24,6,26,27,2,28,30,17,5,31
1,3,7,8,10,12,14,15,18,19,20,21,22,23,25,29
17,30,13,31,27,29,22,5,23,6,8,18,14,1,15,2
3,4,7,9,10,11,12,16,19,20,21,24,25,26,28,32
17,19,25,22,5,26,20,29,32,9,15,7,13,30,28,27
1,2,3,4,6,8,10,11,12,14,16,18,21,23,24,31
15,13,32,27,24,14,12,9,1,3,16,6,5,7,30,18
2,4,8,10,11,17,19,20,21,22,23,25,26,28,29,31
15,31,27,7,29,23,8,18,10,14,26,24,32,1,4,30
2,3,5,6,9,11,12,13,16,17,19,20,21,22,25,28
28,1,17,32,14,3,13,15,24,23,8,12,29,7,6,21
2,4,5,9,10,11,16,18,19,20,22,25,26,27,30,31
20,21,25,8,22,1,30,11,3,9,7,13,26,27,2,29
4,5,6,10,12,14,15,16,17,18,19,23,24,28,31,32
18,3,20,15,21,23,10,9,5,4,25,16,22,1,17,14
2,6,7,8,11,12,13,19,24,26,27,28,29,30,31,32
13,1,5,11,22,21,14,12,2,20,24,29,26,8,10,6
3,4,7,9,15,16,17,18,19,23,25,27,28,30,31,32
14,7,4,3,10,21,8,12,17,28,15,6,30,31,5,24
1,2,9,11,13,16,18,19,20,22,23,25,26,27,29,32
22,28,21,4,6,13,31,15,9,29,3,25,2,5,18,14
1,7,8,10,11,12,16,17,19,20,23,24,26,27,30,32
7,31,18,5,24,26,28,14,20,16,23,22,15,6,2,25
1,3,4,8,9,10,11,12,13,17,19,21,27,29,30,32
30,32,9,25,18,15,20,4,16,17,11,24,19,5,31,21
1,2,3,6,7,8,10,12,13,14,22,23,26,27,28,29
16,29,2,21,9,15,18,13,5,31,28,4,14,24,22,12
1,3,6,7,8,10,11,17,19,20,23,25,26,27,30,32
24,9,16,17,1,4,12,2,3,11,32,28,29,22,8,27
5,6,7,10,13,14,15,18,19,20,21,23,25,26,30,31
21,10,8,11,31,9,6,14,5,1,27,19,7,22,30,20
2,3,4,12,13,15,16,17,18,23,24,25,26,28,29,32
6,8,18,11,7,30,24,15,22,26,32,3,14,2,20,12
1,4,5,9,10,13,16,17,19,21,23,25,27,28,29,31
32,12,23,24,17,19,11,31,14,22,4,15,30,25,10,16
