19,26,39,61,14,59,67,42,40,4,13,11,62,22,44,28,68,53,20,58,47,65,32,6,60,18,1,17,37,66,52,24,70,7,30
2,3,5,8,9,10,12,15,16,21,23,25,27,29,31,33,34,35,36,38,41,43,45,46,48,49,50,51,54,55,56,57,63,64,69
13,49,39,12,63,62,9,53,30,34,61,15,45,11,23,47,66,67,24,4,60,19,41,8,16,22,7,46,48,6,1,44,31,33,69
2,3,5,10,14,17,18,20,21,25,26,27,28,29,32,35,36,37,38,40,42,43,50,51,52,54,55,56,57,58,59,64,65,68,70
12,56,27,22,40,66,8,19,36,39,31,30,60,32,49,46,7,38,47,15,70,1,54,5,11,62,68,65,24,58,16,51,48,17,10
2,3,4,6,9,13,14,18,20,21,23,25,26,28,29,33,34,35,37,41,42,43,44,45,50,52,53,55,57,59,61,63,64,67,69
42,1,20,19,54,17,47,58,59,5,46,65,6,55,24,26,53,31,51,39,36,49,25,56,30,38,22,37,44,70,23,10,34,48,18
2,3,4,7,8,9,11,12,13,14,15,16,21,27,28,29,32,33,35,40,41,43,45,50,52,57,60,61,62,63,64,66,67,68,69
15,48,63,20,7,46,34,51,60,66,17,29,19,32,70,12,21,69,59,43,45,36,11,53,61,22,67,42,6,40,18,3,47,2,1
4,5,8,9,10,13,14,16,23,24,25,26,27,28,30,31,33,35,37,38,39,41,44,49,50,52,54,55,56,57,58,62,64,65,68
43,65,18,26,54,64,62,49,32,4,39,55,6,17,44,15,28,36,8,53,48,41,58,12,35,59,16,40,47,68,21,5,37,29,60
1,2,3,7,9,10,11,13,14,19,20,22,23,24,25,27,30,31,33,34,38,42,45,46,50,51,52,56,57,61,63,66,67,69,70
70,28,8,5,17,52,22,62,11,29,63,14,45,6,26,67,31,1,65,66,32,15,48,43,46,3,69,64,41,49,44,60,68,7,59
2,4,9,10,12,13,16,18,19,20,21,23,24,25,27,30,33,34,35,36,37,38,39,40,42,47,50,51,53,54,55,56,57,58,61
33,15,55,44,22,47,19,59,48,40,28,6,26,32,8,52,1,69,53,27,12,20,30,11,31,67,5,51,23,34,9,25,36,7,68
2,3,4,10,13,14,16,17,18,21,24,29,35,37,38,39,41,42,43,45,46,49,50,54,56,57,58,60,61,62,63,64,65,66,70
16,2,15,68,30,9,26,24,42,61,8,1,52,18,28,56,22,58,19,64,45,69,70,6,25,62,57,17,41,35,65,38,44,34,59
3,4,5,7,10,11,12,13,14,20,21,23,27,29,31,32,33,36,37,39,40,43,46,47,48,49,50,51,53,54,55,60,63,66,67
36,22,30,47,6,15,18,64,39,27,40,34,7,59,21,24,3,65,56,43,44,31,38,17,19,32,37,11,33,53,69,4,58,57,16
1,2,5,8,9,10,12,13,14,20,23,25,26,28,29,35,41,42,45,46,48,49,50,51,52,54,55,60,61,62,63,66,67,68,70
20,1,35,69,5,63,6,19,55,8,11,27,53,49,42,32,59,18,9,25,60,34,58,17,3,22,48,67,64,47,21,13,16,61,30
2,4,7,10,12,14,15,23,24,26,28,29,31,33,36,37,38,39,40,41,43,44,45,46,50,51,52,54,56,57,62,65,66,68,70
5,57,65,19,12,3,66,41,2,1,24,49,22,58,15,25,55,29,35,6,11,39,70,34,50,13,23,9,67,28,10,52,47,31,44
4,7,8,14,16,17,18,20,21,26,27,30,32,33,36,37,38,40,42,43,45,46,48,51,53,54,56,59,60,61,62,63,64,68,69
50,17,27,7,64,1,37,49,55,3,40,52,59,33,34,21,20,32,46,35,67,68,57,25,4,28,2,54,14,26,69,16,51,30,43
5,6,8,9,10,11,12,13,15,18,19,22,23,24,29,31,36,38,39,41,42,44,45,47,48,53,56,58,60,61,62,63,65,66,70
18,45,66,38,65,34,60,27,31,24,54,10,28,49,57,41,20,36,69,62,70,21,30,33,35,58,17,23,29,4,47,6,37,25,46
1,2,3,5,7,8,9,11,12,13,14,15,16,19,22,26,32,39,40,42,43,44,48,50,51,52,53,55,56,59,61,63,64,67,68
43,14,66,44,25,65,53,17,70,51,7,39,30,41,49,47,68,52,8,40,57,59,18,3,27,58,5,60,56,20,50,11,19,67,38
1,2,4,6,9,10,12,13,15,16,21,22,23,24,26,28,29,31,32,33,34,35,36,37,42,45,46,48,54,55,61,62,63,64,69
48,17,31,16,57,21,5,53,55,9,20,35,10,38,30,14,46,37,66,4,49,40,27,65,11,56,42,44,33,60,2,34,28,39,25
1,3,6,7,8,12,13,15,18,19,22,23,24,26,29,32,36,41,43,45,47,50,51,52,54,58,59,61,62,63,64,67,68,69,70
11,67,32,53,27,36,14,12,49,63,66,1,62,48,54,69,33,64,34,60,45,30,65,38,42,5,26,25,40,9,20,2,31,55,21
3,4,6,7,8,10,13,15,16,17,18,19,22,23,24,28,29,35,37,39,41,43,44,46,47,50,51,52,56,57,58,59,61,68,70
58,50,66,6,4,38,25,33,23,14,39,45,67,18,56,7,29,3,49,68,2,55,40,43,5,32,62,20,10,61,36,47,52,8,9
1,11,12,13,15,16,17,19,21,22,24,26,27,28,30,31,34,35,37,41,42,44,46,48,51,53,54,57,59,60,63,64,65,69,70
9,34,45,5,25,15,19,37,52,68,66,27,46,53,13,50,22,31,23,43,35,47,39,41,69,24,64,62,32,20,16,60,11,30,58
1,2,3,4,6,7,8,10,12,14,17,18,21,26,28,29,33,36,38,40,42,44,48,49,51,54,55,56,57,59,61,63,65,67,70
62,54,19,36,64,66,6,5,21,23,43,45,1,60,11,25,18,65,16,42,55,2,22,4,13,47,40,57,3,28,14,69,32,7,68
8,9,10,12,15,17,20,24,26,27,29,30,31,33,34,35,37,38,39,41,44,46,48,49,50,51,52,53,56,58,59,61,63,67,70
56,18,48,13,64,60,7,11,62,52,41,70,4,36,10,3,29,15,26,33,1,30,38,44,14,57,61,34,49,28,68,20,54,32,37
2,5,6,8,9,12,16,17,19,21,22,23,24,25,27,31,35,39,40,42,43,45,46,47,50,51,53,55,58,59,63,65,66,67,69
22,33,68,35,56,48,40,47,26,23,59,36,28,49,25,5,61,10,69,19,12,18,62,38,60,42,21,43,9,45,8,11,31,7,46
1,2,3,4,6,13,14,15,16,17,20,24,27,29,30,32,34,37,39,41,44,50,51,52,53,54,55,57,58,63,64,65,66,67,70
41,16,23,48,55,28,62,64,53,61,52,42,68,18,67,8,65,32,50,33,30,14,66,38,57,37,31,47,5,63,25,11,12,13,43
1,2,3,4,6,7,9,10,15,17,19,20,21,22,24,26,27,29,34,35,36,39,40,44,45,46,49,51,54,56,58,59,60,69,70
21,16,48,35,44,60,18,49,50,69,37,22,39,58,64,62,11,3,27,8,5,28,67,7,54,31,4,26,52,2,13,10,15,6,34
1,9,12,14,17,19,20,23,24,25,29,30,32,33,36,38,40,41,42,43,45,46,47,51,53,55,56,57,59,61,63,65,66,68,70
30,48,11,61,9,65,41,22,5,18,20,63,56,34,39,66,70,58,25,38,3,23,62,8,14,46,4,26,49,10,33,45,55,44,54
1,2,6,7,12,13,15,16,17,19,21,24,27,28,29,31,32,35,36,37,40,42,43,47,50,51,52,53,57,59,60,64,67,68,69
2,20,60,54,21,31,51,47,22,41,34,14,32,1,46,18,27,66,35,38,48,68,24,53,13,37,44,49,50,55,43,19,69,4,5
3,6,7,8,9,10,11,12,15,16,17,23,25,26,28,29,30,33,36,39,40,42,45,52,56,57,58,59,61,62,63,64,65,67,70
69,6,60,23,15,27,5,1,9,12,37,51,30,43,50,44,54,64,31,3,53,47,25,20,55,56,48,70,10,18,57,19,2,42,40
4,7,8,11,13,14,16,17,21,22,24,26,28,29,32,33,34,35,36,38,39,41,45,46,49,52,58,59,61,62,63,65,66,67,68
3,7,33,60,69,50,70,55,36,58,43,39,62,47,29,18,21,61,51,24,13,12,45,10,52,54,57,11,2,64,35,63,40,68,49
1,4,5,6,8,9,14,15,16,17,19,20,22,23,25,26,27,28,30,31,32,34,37,38,41,42,44,46,48,53,56,59,65,66,67
7,17,8,22,39,70,54,55,68,15,59,24,18,36,10,46,57,20,63,19,34,31,47,48,29,16,67,66,52,65,61,6,3,27,58
1,2,4,5,9,11,12,13,14,21,23,25,26,28,30,32,33,35,37,38,40,41,42,43,44,45,49,50,51,53,56,60,62,64,69
7,34,25,29,20,10,58,15,60,9,4,24,32,51,13,57,14,45,64,22,8,67,2,16,12,54,21,46,35,66,68,65,19,23,11
1,3,5,6,17,18,26,27,28,30,31,33,36,37,38,39,40,41,42,43,44,47,48,49,50,52,53,55,56,59,61,62,63,69,70
