7,9,13,20,5,18,19,12,11,1,3,14
2,4,6,8,10,15,16,17,21,22,23,24
5,17,13,4,19,18,3,15,8,9,16,21
1,2,6,7,10,11,12,14,20,22,23,24
5,19,9,7,13,12,3,6,10,16,8,21
1,2,4,11,14,15,17,18,20,22,23,24
15,1,7,6,17,5,14,16,20,2,11,4
3,8,9,10,12,13,18,19,21,22,23,24
5,16,21,6,3,14,10,19,23,2,4,7
1,8,9,11,12,13,15,17,18,20,22,24
15,22,6,8,17,19,18,13,9,1,10,12
2,3,4,5,7,11,14,16,20,21,23,24
24,10,3,2,5,16,7,17,22,18,19,4
1,6,8,9,11,12,13,14,15,20,21,23
12,5,18,14,7,21,6,16,13,10,20,2
1,3,4,8,9,11,15,17,19,22,23,24
6,1,5,22,9,3,8,7,11,15,2,23
4,10,12,13,14,16,17,18,19,20,21,24
13,8,10,15,2,5,19,18,22,7,16,23
1,3,4,6,9,11,12,14,17,20,21,24
7,1,12,23,2,19,20,5,15,18,3,6
4,8,9,10,11,13,14,16,17,21,22,24
2,19,21,6,4,1,20,11,23,16,22,17
3,5,7,8,9,10,12,13,14,15,18,24
18,6,9,2,20,1,11,13,14,19,10,12
3,4,5,7,8,15,16,17,21,22,23,24
7,15,22,12,20,10,17,8,18,6,13,3
1,2,4,5,9,11,14,16,19,21,23,24
15,5,22,14,8,19,24,23,11,13,2,9
1,3,4,6,7,10,12,16,17,18,20,21
17,6,10,5,18,23,2,15,14,3,21,8
1,4,7,9,11,12,13,16,19,20,22,24
4,23,11,17,9,22,24,18,13,3,7,1
2,5,6,8,10,12,14,15,16,19,20,21
20,17,22,2,21,11,7,9,6,4,10,14
1,3,5,8,12,13,15,16,18,19,23,24
3,12,15,2,8,5,6,10,14,11,18,16
1,4,7,9,13,17,19,20,21,22,23,24
22,18,7,12,20,19,2,23,6,16,11,10
1,3,4,5,8,9,13,14,15,17,21,24
19,6,16,4,20,18,2,3,22,13,10,15
1,5,7,8,9,11,12,14,17,21,23,24
8,11,22,23,17,14,12,13,7,6,19,24
1,2,3,4,5,9,10,15,16,18,20,21
14,6,8,15,17,9,18,20,24,21,13,10
1,2,3,4,5,7,11,12,16,19,22,23
8,6,16,11,14,18,23,13,17,4,9,5
1,2,3,7,10,12,15,19,20,21,22,24
10,16,4,19,3,21,12,6,2,5,15,14
1,7,8,9,11,13,17,18,20,22,23,24
1,7,20,17,23,9,15,13,6,11,8,4
2,3,5,10,12,14,16,18,19,21,22,24
24,2,20,7,5,8,23,1,3,16,9,12
4,6,10,11,13,14,15,17,18,19,21,22
1,3,11,19,2,15,24,21,10,17,16,9
4,5,6,7,8,12,13,14,18,20,22,23
3,6,24,7,12,2,15,18,19,4,14,23
1,5,8,9,10,11,13,16,17,20,21,22
3,12,9,22,7,24,17,4,16,19,1,6
2,5,8,10,11,13,14,15,18,20,21,23
13,22,10,9,19,21,15,3,18,4,5,11
1,2,6,7,8,12,14,16,17,20,23,24
13,14,18,16,4,19,23,15,11,6,10,5
1,2,3,7,8,9,12,17,20,21,22,24
11,10,24,20,17,23,8,6,1,2,19,4
3,5,7,9,12,13,14,15,16,18,21,22
11,23,20,6,5,17,21,13,7,9,22,18
1,2,3,4,8,10,12,14,15,16,19,24
21,1,13,20,10,2,9,11,16,15,5,8
3,4,6,7,12,14,17,18,19,22,23,24
15,16,18,6,23,1,22,8,2,21,4,17
3,5,7,9,10,11,12,13,14,19,20,24
14,2,15,11,22,16,7,6,4,3,17,10
1,5,8,9,12,13,18,19,20,21,23,24
10,1,4,8,16,15,24,21,23,14,20,7
2,3,5,6,9,11,12,13,17,18,19,22
11,5,3,2,7,15,23,8,24,20,10,4
1,6,9,12,13,14,16,17,18,19,21,22
17,21,16,3,4,9,20,11,6,23,2,10
1,5,7,8,12,13,14,15,18,19,22,24
6,23,13,3,17,19,20,9,14,11,10,16
1,2,4,5,7,8,12,15,18,21,22,24
22,24,7,18,13,10,14,3,11,16,23,19
1,2,4,5,6,8,9,12,15,17,20,21
12,21,2,15,7,11,13,9,3,14,6,16
1,4,5,8,10,17,18,19,20,22,23,24
18,7,12,13,1,3,9,20,2,23,16,17
4,5,6,8,10,11,14,15,19,21,22,24
16,8,6,23,21,22,5,10,3,1,19,12
2,4,7,9,11,13,14,15,17,18,20,24
5,6,13,8,24,22,17,11,15,16,4,2
1,3,7,9,10,12,14,18,19,20,21,23
24,9,17,18,12,14,8,21,23,19,2,10
1,3,4,5,6,7,11,13,15,16,20,22
14,1,23,8,5,3,18,22,13,7,10,20
2,4,6,9,11,12,15,16,17,19,21,24
9,12,6,13,1,22,5,2,24,21,4,19
3,7,8,10,11,14,15,16,17,18,20,23
18,11,5,17,23,1,13,20,19,2,6,4
3,7,8,9,10,12,14,15,16,21,22,24
