22,30,45,70,16,68,77,49,46,5,15,13,47,26,51,33,72,63,24,48,57,69,38,8,74,80,1,21,64,18,25,79,62,9,39,31,35,71,78,17
2,3,4,6,7,10,11,12,14,19,20,23,27,28,29,32,34,36,37,40,41,42,43,44,50,52,53,54,55,56,58,59,60,61,65,66,67,73,75,76
15,56,45,13,72,71,10,61,34,40,39,17,52,77,27,79,63,80,28,5,75,23,49,9,20,66,57,19,51,7,1,54,70,41,24,29,38,67,78,68
2,3,4,6,8,11,12,14,16,18,21,22,25,26,30,31,32,33,35,36,37,42,43,44,46,47,48,50,53,55,58,59,60,62,64,65,69,73,74,76
14,64,31,26,46,76,10,22,42,45,36,35,37,38,58,54,8,71,56,18,80,1,79,6,60,44,33,49,30,39,19,50,9,73,12,16,40,48,25,43
2,3,4,5,7,11,13,15,17,20,21,23,24,27,28,29,32,34,41,47,51,52,53,55,57,59,61,62,63,65,66,67,68,69,70,72,74,75,77,78
47,1,23,22,62,20,54,67,69,6,53,75,7,64,28,30,63,37,60,80,43,59,65,66,73,46,27,45,74,57,29,12,76,31,78,44,21,52,17,79
2,3,4,5,8,9,10,11,13,14,15,16,18,19,24,25,26,32,33,34,35,36,38,39,40,41,42,48,49,50,51,55,56,58,61,68,70,71,72,77
17,55,72,22,8,53,40,59,69,76,20,34,77,38,18,14,25,56,35,52,54,43,13,58,71,27,24,61,63,49,23,3,65,2,1,68,79,26,80,42
4,5,6,7,9,10,11,12,15,16,19,21,28,29,30,31,32,33,36,37,39,41,44,45,46,47,48,50,51,57,60,62,64,66,67,70,73,74,75,78
49,75,21,30,62,74,71,56,37,5,46,64,7,20,51,17,34,43,10,63,58,80,68,14,42,18,67,59,15,23,27,60,70,36,53,73,65,3,45,32
1,2,4,6,8,9,11,12,13,16,19,22,24,25,26,28,29,31,33,35,38,39,40,41,44,47,48,50,52,54,55,57,61,66,69,72,76,77,78,79
80,32,10,6,19,60,26,71,12,33,13,16,53,7,30,77,36,1,62,20,39,18,58,52,56,4,34,74,51,76,54,70,9,48,59,75,22,50,64,57
2,3,5,8,11,14,15,17,21,23,24,25,27,28,29,31,35,37,38,40,41,42,43,44,45,46,47,49,55,61,63,65,66,67,68,69,72,73,78,79
38,17,63,51,25,54,22,69,56,46,32,7,30,37,10,61,1,79,18,70,14,76,36,13,80,75,6,33,28,42,11,31,45,9,19,16,77,41,62,49
2,3,4,5,8,12,15,20,21,23,24,26,27,29,34,35,39,40,43,44,47,48,50,52,53,55,57,58,59,60,64,65,66,67,68,71,72,73,74,78
18,2,17,78,34,11,29,27,49,71,9,1,61,21,33,66,26,62,23,30,54,79,19,7,68,51,22,67,55,44,75,48,63,43,69,40,36,41,50,31
