27,37,57,89,20,86,97,62,58,6,19,16,61,34,67,43,88,83,32,63,75,17,51,10,21,29,1,28,81,25,87,42,70,13,55,44,78,7,45,26,50,39,46,82,30,65,2,84,59,36
3,4,5,8,9,11,12,14,15,18,22,23,24,31,33,35,38,40,41,47,48,49,52,53,54,56,60,64,66,68,69,71,72,73,74,76,77,79,80,85,90,91,92,93,94,95,96,98,99,100
19,70,57,17,91,90,13,78,44,51,50,22,67,16,35,73,83,100,37,7,53,31,66,12,27,82,77,76,99,10,1,74,56,59,34,41,55,18,42,71,88,63,81,61,80,92,68,84,85,62
2,3,4,5,6,8,9,11,14,15,20,21,23,24,25,26,28,29,30,32,33,36,38,39,40,43,45,46,47,48,49,52,54,58,60,64,65,69,72,75,79,86,87,89,93,94,95,96,97,98
17,80,38,32,58,96,12,28,54,95,47,45,90,49,75,71,10,59,74,23,19,2,11,8,99,60,89,67,41,92,27,26,94,31,18,22,57,13,36,63,100,88,78,33,24,15,3,6,86,72
1,4,5,7,9,14,16,20,21,25,29,30,34,35,37,39,40,42,43,44,46,48,50,51,52,53,55,56,61,62,64,65,66,68,69,70,73,76,77,79,81,82,83,84,85,87,91,93,97,98
59,1,29,27,79,25,69,85,88,7,68,26,9,84,36,39,82,49,96,62,58,87,40,38,50,63,86,81,37,77,78,17,60,44,32,64,30,70,95,99,57,15,33,11,51,5,83,48,71,98
2,3,4,6,8,10,12,13,14,16,18,19,20,21,22,23,24,28,31,34,35,41,42,43,45,46,47,52,53,54,55,56,61,65,66,67,72,73,74,75,76,80,89,90,91,92,93,94,97,100
21,68,90,28,11,67,50,76,88,96,25,44,29,49,23,18,33,74,46,69,72,57,17,85,91,36,84,71,93,99,32,5,19,3,1,70,39,38,98,62,87,14,48,31,53,79,42,4,54,83
2,6,7,8,9,10,12,13,15,16,20,22,24,26,27,30,34,35,37,40,41,43,45,47,51,52,55,56,58,59,60,61,63,64,65,66,73,75,77,78,80,81,82,86,89,92,94,95,97,100
61,93,26,37,78,99,91,71,47,6,58,82,9,98,67,22,44,57,13,83,77,66,10,19,81,24,27,86,20,31,97,88,79,51,96,100,25,4,62,92,42,43,5,54,55,46,7,23,30,73
1,2,3,8,11,12,14,15,16,17,18,21,28,29,32,33,34,35,36,38,39,40,41,45,48,49,50,52,53,56,59,60,63,64,65,68,69,70,72,74,75,76,80,84,85,87,89,90,94,95
99,40,12,7,24,76,32,91,16,42,92,21,69,9,39,8,48,1,81,26,52,96,78,70,95,5,47,36,77,82,84,19,13,68,71,56,94,50,80,28,72,23,45,25,51,18,75,44,74,63
2,3,4,6,10,11,14,15,17,20,22,27,29,30,31,33,34,35,37,38,41,43,46,49,53,54,55,57,58,59,60,61,62,64,65,66,67,73,79,83,85,86,87,88,89,90,93,97,98,100
47,21,79,64,31,69,28,87,71,59,42,8,39,48,12,98,1,22,23,43,18,33,93,17,51,74,89,45,38,91,15,81,97,13,26,82,61,60,66,46,55,80,29,50,20,70,94,10,57,6
2,3,4,5,7,9,11,14,16,19,24,25,27,30,32,34,35,36,37,40,41,44,49,52,53,54,56,58,62,63,65,67,68,72,73,75,76,77,78,83,84,85,86,88,90,92,95,96,99,100
23,3,21,98,43,13,37,35,62,91,11,1,78,27,96,86,34,82,30,40,72,2,25,9,41,69,83,28,70,61,15,68,32,71,89,58,53,60,80,47,65,85,84,90,100,12,45,36,95,48
4,5,6,7,8,10,14,16,17,18,19,20,22,24,26,29,31,33,38,39,42,44,46,49,50,51,52,54,55,56,57,59,63,64,66,67,73,74,75,76,77,79,81,87,88,92,93,94,97,99
51,31,42,68,9,22,26,94,57,40,59,100,10,52,99,37,5,95,33,97,70,49,61,28,86,53,63,18,56,93,38,7,12,78,77,79,75,67,43,76,17,14,1,98,90,96,58,71,6,41
2,3,4,8,11,13,15,16,19,20,21,23,24,25,27,29,30,32,34,35,36,39,44,45,46,47,48,50,54,55,60,62,64,65,66,69,72,73,74,80,81,82,83,84,85,87,88,89,91,92
28,1,51,2,7,91,9,27,82,12,16,40,80,75,64,49,41,100,13,39,17,54,29,93,5,37,30,97,10,78,36,23,71,14,79,42,18,96,90,4,15,92,68,38,19,48,35,99,83,43
3,6,8,11,20,21,22,24,25,26,31,32,33,34,44,45,46,47,50,52,53,55,56,57,58,59,60,61,62,63,65,66,67,69,70,72,73,74,76,77,81,84,85,86,87,88,89,94,95,98
7,81,93,27,17,4,96,60,3,1,36,73,34,88,23,38,39,45,55,10,18,63,8,82,94,21,85,14,32,48,76,62,61,77,42,69,83,54,24,65,90,72,57,12,71,6,75,92,78,40
2,5,9,11,13,15,16,19,20,22,25,26,28,29,30,31,33,35,37,41,43,44,46,47,49,50,51,52,53,56,58,59,64,66,67,68,70,74,79,80,84,86,87,89,91,95,97,98,99,100
72,25,39,9,93,2,54,100,81,4,60,79,89,50,52,31,85,87,71,56,11,44,53,41,7,47,3,34,24,45,30,28,63,55,36,76,70,91,48,6,37,14,57,35,66,51,8,18,98,58
1,5,10,12,13,15,16,17,19,20,21,22,23,26,27,29,32,33,38,40,42,43,46,49,59,61,62,64,65,67,68,69,73,74,75,77,78,80,82,83,84,86,88,90,92,94,95,96,97,99
26,64,94,54,95,49,88,40,45,35,81,15,42,75,74,63,30,56,70,96,29,34,90,97,57,47,80,39,50,6,76,10,66,44,85,9,36,84,77,38,7,82,25,100,32,12,22,55,93,99
1,2,3,4,5,8,11,13,14,16,17,18,19,20,21,23,24,27,28,31,33,37,41,43,46,48,51,52,53,58,59,60,61,62,65,67,68,69,71,72,73,78,79,83,86,87,89,91,92,98
61,20,95,64,36,94,77,24,97,76,10,58,45,62,75,72,38,81,12,63,65,83,28,5,43,50,8,11,67,34,35,18,71,74,68,91,85,33,19,47,55,27,54,15,99,93,69,40,44,1
2,3,4,6,7,9,13,14,16,17,21,22,23,25,26,29,30,31,32,37,39,41,42,46,48,49,51,52,53,56,57,59,60,66,70,73,78,79,80,82,84,86,87,88,89,90,92,96,98,100
69,25,45,23,83,30,7,78,81,13,29,53,14,58,46,21,72,87,59,94,93,65,43,34,18,49,71,84,56,77,4,60,75,100,98,95,19,73,54,85,3,99,22,70,24,80,51,16,11,41
1,2,5,6,8,9,10,12,15,17,20,26,27,28,31,32,33,35,36,37,38,39,40,42,44,47,48,50,52,55,57,61,62,63,64,66,67,68,74,76,79,82,86,88,89,90,91,92,96,97
16,96,46,76,40,52,20,18,72,93,99,1,74,73,83,81,51,22,53,43,71,48,58,62,69,7,85,88,68,100,34,4,55,25,38,17,47,45,98,49,77,66,15,32,14,78,95,60,92,29
2,3,5,6,8,9,10,11,12,13,19,21,23,24,26,27,28,30,31,33,35,36,37,39,41,42,44,50,54,56,57,59,61,63,64,65,67,70,75,79,80,82,84,86,87,89,90,91,94,97
83,71,95,8,6,55,37,48,34,20,58,68,9,27,86,11,45,4,77,96,3,85,64,70,97,53,39,33,16,23,63,35,13,14,17,93,59,32,43,28,81,80,51,2,89,87,67,7,36,38
1,5,10,12,15,18,19,21,22,24,25,26,29,30,31,40,41,42,44,46,47,49,50,52,54,56,57,60,61,62,65,66,69,72,73,74,75,76,78,79,82,84,88,90,91,92,94,98,99,100
12,48,64,7,36,22,28,54,77,67,37,41,70,81,20,92,34,99,96,68,56,76,98,91,55,40,32,38,93,84,94,44,86,72,61,52,45,69,15,14,80,21,9,29,57,90,47,11,58,97
1,2,3,4,5,6,8,10,13,16,17,18,19,23,24,25,26,27,30,31,33,35,39,42,43,46,49,50,51,53,59,60,62,63,65,66,71,73,74,75,78,79,82,83,85,87,88,89,95,100
88,77,28,52,93,94,9,7,31,34,65,68,1,90,17,39,98,10,24,67,40,3,35,6,21,99,89,73,5,48,82,92,57,13,91,69,30,58,41,16,36,79,26,27,43,70,78,80,22,66
2,4,8,11,12,14,15,18,19,20,23,25,29,32,33,37,38,42,44,45,46,47,49,50,51,53,54,55,56,59,60,61,62,63,64,71,72,74,75,76,81,83,84,85,86,87,95,96,97,100
79,25,69,18,93,88,10,17,91,78,61,84,6,54,16,4,45,24,41,52,1,49,90,72,23,60,43,57,81,48,66,35,51,73,58,13,14,82,21,31,40,67,30,85,9,98,95,63,22,89
2,3,5,7,8,11,12,15,19,20,26,27,28,29,32,33,34,36,37,38,39,42,44,46,47,50,53,55,56,59,62,64,65,68,70,71,74,75,76,77,80,83,86,87,92,94,96,97,99,100
31,47,98,51,81,69,58,95,39,34,88,55,42,75,38,7,36,15,97,100,18,29,90,62,59,70,35,73,16,72,13,80,89,12,65,3,53,66,4,32,17,26,79,1,14,11,8,22,71,56
2,5,6,9,10,19,20,21,23,24,25,27,28,30,33,37,40,41,43,44,45,46,48,49,50,52,54,57,60,61,63,64,67,68,74,76,77,78,82,83,84,85,86,87,91,92,93,94,96,99
58,23,33,69,79,41,91,94,78,93,92,63,35,28,73,12,44,50,90,51,47,22,85,62,30,77,81,65,9,56,84,19,21,24,96,53,18,60,71,11,48,5,17,38,70,43,7,20,16,39
1,2,3,4,6,8,10,13,14,15,25,26,27,29,31,32,34,36,37,40,42,45,46,49,52,54,55,57,59,61,64,66,67,68,72,74,75,76,80,82,83,86,87,88,89,95,97,98,99,100
30,23,70,51,64,88,27,72,74,24,55,33,60,59,28,77,17,4,42,12,8,44,57,11,84,52,6,79,46,83,99,76,26,10,62,14,47,40,73,95,29,98,16,13,3,5,22,20,65,18
1,2,7,9,15,19,21,25,31,32,34,35,36,37,38,39,41,43,45,48,49,50,53,54,56,58,61,63,66,67,68,69,71,75,78,80,81,82,85,86,87,89,90,91,92,93,94,96,97,100
42,69,15,88,12,94,59,32,7,26,30,33,85,52,60,13,46,61,40,86,4,36,8,96,23,76,6,44,39,17,58,25,71,92,55,27,83,24,10,78,43,98,89,81,93,16,54,38,3,37
