24,34,51,80,18,77,87,55,52,6,17,14,54,30,59,38,78,73,28,56,66,15,45,9,86,26,1,25,74,21,29,36,60,11,47,37,43,81,75,61,42,32,82,65,63
2,3,4,5,7,8,10,12,13,16,19,20,22,23,27,31,33,35,39,40,41,44,46,48,49,50,53,57,58,62,64,67,68,69,70,71,72,76,79,83,84,85,88,89,90
17,63,51,15,82,81,11,70,39,45,85,19,60,14,31,65,73,90,33,6,47,27,57,84,23,32,10,66,78,9,1,64,83,50,29,35,46,16,55,8,68,87,71,88,44
2,3,4,5,7,12,13,18,20,21,22,24,25,26,28,30,34,36,37,38,40,41,42,43,48,49,52,53,54,56,58,59,61,62,67,69,72,74,75,76,77,79,80,86,89
16,72,34,29,52,86,11,25,48,85,41,40,42,43,66,63,9,81,65,20,90,2,74,7,70,73,39,58,35,47,23,60,10,26,15,19,49,84,31,53,56,64,68,27,71
1,3,4,5,6,8,12,13,14,17,18,21,22,24,28,30,32,33,36,37,38,44,45,46,50,51,54,55,57,59,61,62,67,69,75,76,77,78,79,80,82,83,87,88,89
53,1,26,25,70,23,61,76,78,6,84,85,8,74,32,35,72,43,86,55,51,69,75,33,73,71,31,54,83,67,68,15,77,38,28,63,87,80,21,89,47,12,56,9,42
2,3,4,5,7,10,11,13,14,16,17,18,19,20,22,24,27,29,30,34,36,37,39,40,41,44,45,46,48,49,50,52,57,58,59,60,62,64,65,66,79,81,82,88,90
19,61,81,25,9,60,45,68,79,86,22,39,87,44,20,16,29,65,40,85,63,50,15,75,10,32,28,89,88,59,27,4,67,2,1,71,33,73,21,52,41,12,72,26,43
3,5,6,7,8,11,13,14,17,18,23,24,30,31,34,35,36,37,38,42,46,47,48,49,51,53,54,55,56,57,58,62,64,66,69,70,74,76,77,78,80,82,83,84,90
55,84,24,34,70,89,81,64,42,6,52,73,8,23,59,20,39,50,11,79,68,58,9,17,71,21,77,69,18,27,32,78,56,44,76,80,65,4,90,40,35,36,53,45,47
1,2,3,5,7,10,12,13,14,15,16,19,22,25,26,28,29,30,31,33,37,38,41,43,46,48,49,51,54,57,60,61,62,63,66,67,72,74,75,82,83,85,86,87,88
90,36,11,7,21,68,29,81,14,38,82,19,61,8,35,87,42,1,71,23,45,86,85,78,66,5,41,31,67,72,64,16,88,58,22,47,27,74,44,24,40,79,37,69,53
2,3,4,6,9,10,12,13,15,17,18,20,25,26,28,30,32,33,34,39,43,46,48,49,50,51,52,54,55,56,57,59,60,62,63,65,70,73,75,76,77,80,83,84,89
42,19,71,57,28,62,25,78,64,53,37,8,34,90,11,70,1,20,73,80,16,29,77,15,44,82,7,39,33,50,13,88,55,76,23,89,51,54,22,38,46,67,24,68,75
2,3,4,5,6,9,10,12,14,17,18,21,26,27,30,31,32,35,36,40,41,43,45,47,48,49,52,56,58,59,60,61,63,65,66,69,72,74,79,81,83,84,85,86,87
20,3,19,88,39,12,33,31,55,81,10,1,69,24,38,76,30,72,26,35,63,2,22,8,71,60,73,25,65,52,13,58,28,61,79,49,44,50,62,86,82,36,59,9,87
4,5,6,7,11,14,15,16,17,18,21,23,27,29,32,34,37,40,41,42,43,45,46,47,48,51,53,54,56,57,64,66,67,68,70,74,75,77,78,80,83,84,85,89,90
