6,8,11,16,4,14,15,9,19,1
2,3,5,7,10,12,13,17,18,20
4,14,11,3,16,15,2,18,6,7
1,5,8,9,10,12,13,17,19,20
4,16,7,6,10,19,2,20,18,12
1,3,5,8,9,11,13,14,15,17
12,1,6,5,14,4,11,20,13,19
2,3,7,8,9,10,15,16,17,18
5,14,17,20,2,11,8,15,12,16
1,3,4,6,7,9,10,13,18,19
13,18,5,7,20,15,14,10,17,1
2,3,4,6,8,9,11,12,16,19
20,8,3,2,4,12,5,13,17,6
1,7,9,10,11,14,15,16,18,19
10,4,15,12,6,11,5,13,20,8
1,2,3,7,9,14,16,17,18,19
5,1,4,18,8,3,6,20,9,11
2,7,10,12,13,14,15,16,17,19
11,6,8,12,2,4,15,14,18,5
1,3,7,9,10,13,16,17,19,20
6,1,10,19,2,15,16,4,11,14
3,5,7,8,9,12,13,17,18,20
2,16,17,5,3,1,19,9,15,12
4,6,7,8,10,11,13,14,18,20
15,5,8,2,16,1,9,10,11,20
3,4,6,7,12,13,14,17,18,19
6,13,18,10,16,8,14,20,19,5
1,2,3,4,7,9,11,12,15,17
13,4,18,12,6,15,17,19,9,10
1,2,3,5,7,8,11,14,16,20
14,5,9,4,20,19,2,11,13,16
1,3,6,7,8,10,12,15,17,18
4,19,9,14,7,18,3,17,10,13
1,2,5,6,8,11,12,15,16,20
17,14,18,2,1,9,6,7,5,3
4,8,10,11,12,13,15,16,19,20
3,10,12,2,6,4,5,8,11,13
1,7,9,14,15,16,17,18,19,20
18,15,6,9,16,19,2,1,4,5
3,7,8,10,11,12,13,14,17,20
16,5,13,4,20,14,2,3,12,10
1,6,7,8,9,11,15,17,18,19
7,10,18,9,14,11,17,19,6,5
1,2,3,4,8,12,13,15,16,20
12,5,6,13,14,7,16,17,11,20
1,2,3,4,8,9,10,15,18,19
6,5,13,9,11,14,4,10,18,3
1,2,7,8,12,15,16,17,19,20
9,14,3,16,2,15,20,5,1,4
6,7,8,10,11,12,13,17,18,19
1,6,16,14,5,8,12,10,18,15
2,3,4,7,9,11,13,17,19,20
20,2,16,6,4,7,19,1,14,3
5,8,9,10,11,12,13,15,17,18
1,2,9,16,19,12,20,15,7,11
3,4,5,6,8,10,13,14,17,18
2,5,20,6,10,18,12,14,15,3
1,4,7,8,9,11,13,16,17,19
2,10,7,8,5,3,13,15,12,20
1,4,6,9,11,14,16,17,18,19
11,19,8,18,16,7,12,3,14,13
1,2,4,5,6,9,10,15,17,20
11,12,15,13,3,18,20,19,9,5
1,2,4,6,7,8,10,14,16,17
9,8,20,16,14,19,7,5,1,2
3,4,6,10,11,12,13,15,17,18
9,19,16,5,4,13,18,10,17,7
1,2,3,6,8,11,12,14,15,20
18,1,10,17,8,2,7,16,12,11
3,4,5,6,9,13,14,15,19,20
13,20,15,5,19,1,14,6,2,4
3,7,8,9,10,11,12,16,17,18
11,2,12,9,18,13,6,5,3,19
1,4,7,8,10,14,15,16,17,20
8,1,3,7,13,12,20,6,19,10
2,4,5,9,11,14,15,16,17,18
9,4,2,18,6,12,19,7,20,5
1,3,8,10,11,13,14,15,16,17
14,17,13,2,4,7,3,8,5,19
1,6,9,10,11,12,15,16,18,20
5,19,11,3,14,15,13,7,10,8
1,2,4,6,9,12,16,17,18,20
19,18,6,15,11,8,16,2,17,12
1,3,4,5,7,9,10,13,14,20
10,18,2,12,6,9,20,7,3,14
1,4,5,8,11,13,15,16,17,19
15,6,10,18,1,3,7,16,2,5
4,8,9,11,12,13,14,17,19,20
13,7,5,19,6,18,4,8,3,1
2,9,10,11,12,14,15,16,17,20
4,5,11,6,20,10,13,8,18,12
1,2,3,7,9,14,15,16,17,19
20,8,14,18,10,11,6,7,13,15
1,2,3,4,5,9,12,16,17,19
12,1,19,7,4,2,14,18,10,6
3,5,8,9,11,13,15,16,17,20
8,10,5,11,1,18,4,2,7,19
3,6,9,12,13,14,15,16,17,20
15,9,4,14,19,1,10,16,20,2
3,5,6,7,8,11,12,13,17,18
